FECHA (YYMMDD);HORA (HHMM);;
260330;1900;58,4008;
260330;2000;58,9058;
260330;2100;59,2358;
260330;2200;80,7333;
260330;2300;93,7333;
260331;0000;93,6;
260331;0100;90,625;
260331;0200;83,4783;
260331;0300;82,2917;
260331;0400;83,155;
260331;0500;77,0658;
260331;0600;72,5308;
260331;0700;67,1808;
260331;0800;66,725;
260331;0900;82,2574;
260331;1000;73,3575;
260331;1100;59,715;
260331;1200;58,2358;
260331;1300;54,5325;
260331;1400;53,0758;
260331;1500;54,0492;
260331;1600;54,2233;
260331;1700;58,7233;
260331;1800;68,1667;
260331;1900;72,7;
260331;2000;73,7083;
260331;2100;59,175;
260331;2200;56,3267;
260331;2300;58,5625;
260401;0000;60,4317;
260401;0100;69,9117;
260401;0200;73,8184;
260401;0300;74,9017;
260401;0400;72,9508;
260401;0500;70,6342;
260401;0600;69,0684;
260401;0700;71,5867;
260401;0800;73,7234;
260401;0900;69,4717;
260401;1000;67,7792;
260401;1100;65,2017;
260401;1200;63,255;
260401;1300;62,2233;
260401;1400;55,9433;
260401;1500;57,1767;
260401;1600;58,4133;
260401;1700;61,9742;
260401;1800;68,1283;
260401;1900;72,5699;
260401;2000;66,8234;
260401;2100;70,7709;
260401;2200;68,1942;
260401;2300;70,4958;
260402;0000;65,34;
260402;0100;64,3667;
260402;0200;67,5225;
260402;0300;67,8116;
260402;0400;63,9925;
260402;0500;63,5833;
260402;0600;62,8075;
260402;0700;64,24;
260402;0800;62,4517;
260402;0900;66,6025;
260402;1000;61,285;
260402;1100;46,2442;
260402;1200;44,65;
260402;1300;50,465;
260402;1400;68,3217;
260402;1500;78,9092;
260402;1600;87,2833;
260402;1700;88,7417;
260402;1800;90,1833;
260402;1900;85,375;
260402;2000;78,3859;
260402;2100;66,3342;
260402;2200;83,75;
260402;2300;73,6333;
260403;0000;77,8617;
260403;0100;74,5825;
260403;0200;71,3859;
260403;0300;70,1117;
260403;0400;70,8883;
260403;0500;76,5233;
260403;0600;81,1566;
260403;0700;79,2476;
260403;0800;66,6143;
260403;0900;54,925;
260403;1000;49,7583;
260403;1100;43,305;
260403;1200;41,7242;
260403;1300;40,0842;
260403;1400;37,5217;
260403;1500;39,0142;
260403;1600;39,6533;
260403;1700;50,0925;
260403;1800;60,3642;
260403;1900;68,9575;
260403;2000;72,365;
260403;2100;73,4575;
260403;2200;73,4467;
260403;2300;74,9775;
260404;0000;77,5433;
260404;0100;84,6;
260404;0200;88,4583;
260404;0300;89,2;
260404;0400;89,075;
260404;0500;91,2333;
260404;0600;92,6583;
260404;0700;93,8083;
260404;0800;89,6375;
260404;0900;74,3042;
260404;1000;68,3384;
260404;1100;53,9883;
260404;1200;49,8608;
260404;1300;44,2883;
260404;1400;41,6833;
260404;1500;41,3667;
260404;1600;41,0708;
260404;1700;43,05;
260404;1800;55,97;
