FECHA (YYMMDD);HORA (HHMM);;
201103;1800;20,2475;
201103;1900;17,485;
201103;2000;15,0508;
201103;2100;13,4183;
201103;2200;12,8225;
201103;2300;11,8467;
201104;0000;11,3642;
201104;0100;10,54;
201104;0200;10,1683;
201104;0300;10,1325;
201104;0400;9,63251;
201104;0500;8,90083;
201104;0600;8,39958;
201104;0700;9,72224;
201104;0800;13,0217;
201104;0900;13,2125;
201104;1000;13,5425;
201104;1100;12,34;
201104;1200;12,01;
201104;1300;12,4742;
201104;1400;11,3258;
201104;1500;10,5217;
201104;1600;10,7792;
201104;1700;10,4583;
201104;1800;9,75751;
201104;1900;8,32268;
201104;2000;8,01093;
201104;2100;7,39367;
201104;2200;6,48167;
201104;2300;6,59342;
201105;0000;6,88483;
201105;0100;7,12517;
201105;0200;7,30042;
201105;0300;7,30492;
201105;0400;7,42975;
201105;0500;7,66242;
201105;0600;8,10143;
201105;0700;8,86501;
201105;0800;9,25667;
201105;0900;9,9375;
201105;1000;11,5092;
201105;1100;13,6558;
201105;1200;14,2967;
201105;1300;14,1625;
201105;1400;13,18;
201105;1500;12,205;
201105;1600;11,8367;
201105;1700;11,0033;
201105;1800;9,95168;
201105;1900;9,28334;
201105;2000;9,00417;
201105;2100;9,1375;
201105;2200;8,76083;
201105;2300;7,65342;
201106;0000;6,40317;
201106;0100;5,47867;
201106;0200;5,15067;
201106;0300;5,23008;
201106;0400;4,55142;
201106;0500;3,93842;
201106;0600;5,38633;
201106;0700;10,1041;
201106;0800;12,5683;
201106;0900;13,49;
201106;1000;14,7367;
201106;1100;16,5517;
201106;1200;17,4083;
201106;1300;18,4825;
201106;1400;19,2808;
201106;1500;19,115;
201106;1600;17,8675;
201106;1700;16,97;
201106;1800;16,4075;
201106;1900;13,5425;
201106;2000;11,3475;
201106;2100;10,5633;
201106;2200;10,1967;
201106;2300;9,67084;
201107;0000;9,155;
201107;0100;8,29433;
201107;0200;7,71308;
201107;0300;7,04483;
201107;0400;6,38283;
201107;0500;6,19992;
201107;0600;7,20692;
201107;0700;11,375;
201107;0800;14,1017;
201107;0900;16,0258;
201107;1000;17,9075;
201107;1100;19,6267;
201107;1200;20,78;
201107;1300;21,0542;
201107;1400;21,1917;
201107;1500;20,8775;
201107;1600;19,59;
201107;1700;19,1142;
201107;1800;18,8425;
201107;1900;16,0208;
201107;2000;13,4642;
201107;2100;12,1417;
201107;2200;11,4817;
201107;2300;10,7983;
201108;0000;10,4492;
201108;0100;10,0517;
201108;0200;9,58333;
201108;0300;9,36751;
201108;0400;9,19749;
201108;0500;8,39075;
201108;0600;9,5775;
201108;0700;14,2008;
201108;0800;16,7092;
201108;0900;18,4483;
201108;1000;21,06;
201108;1100;23,33;
201108;1200;23,84;
201108;1300;23,1158;
201108;1400;23,4633;
201108;1500;23,5242;
201108;1600;22,6333;
201108;1700;22,175;
201108;1800;21,56;
201108;1900;18,2675;
201108;2000;16,2392;
201108;2100;14,45;
201108;2200;13,0617;
201108;2300;12,9208;
201109;0000;12,3158;
201109;0100;11,8575;
201109;0200;12,1083;
201109;0300;12,2083;
201109;0400;11,2825;
201109;0500;10,8525;
201109;0600;11,7825;
201109;0700;16,6867;
201109;0800;18,8967;
201109;0900;19,0867;
201109;1000;18,6208;
201109;1100;19,41;
201109;1200;20,7617;
201109;1300;21,2517;
201109;1400;22,27;
201109;1500;21,6467;
201109;1600;19,8592;
201109;1700;18,8575;
201109;1800;18,3592;
201109;1900;16,8475;
201109;2000;15,4783;
201109;2100;14,4067;
201109;2200;13,3242;
201109;2300;12,6433;
201110;0000;12,5292;
201110;0100;12,3517;
201110;0200;12,0983;
201110;0300;11,6192;
201110;0400;10,6808;
201110;0500;10,0892;
201110;0600;10,9617;
201110;0700;15,0942;
201110;0800;17,4358;
201110;0900;18,77;
201110;1000;20,79;
201110;1100;22,9242;
201110;1200;23,9525;
201110;1300;25,6908;
201110;1400;26,675;
201110;1500;26,4008;
201110;1600;24,5367;
201110;1700;24,5;
201110;1800;24,1133;
201110;1900;21,4158;
201110;2000;18,14;
201110;2100;16,93;
201110;2200;15,3792;
201110;2300;13,47;
201111;0000;12,2808;
201111;0100;11,2183;
201111;0200;10,6092;
201111;0300;10,1433;
201111;0400;8,63483;
201111;0500;8,37418;
201111;0600;8,80333;
201111;0700;13,02;
201111;0800;16,9558;
201111;0900;18,5858;
201111;1000;20,1558;
201111;1100;20,3267;
201111;1200;20,5517;
201111;1300;21,4475;
201111;1400;21,4667;
201111;1500;20,4242;
201111;1600;19,0292;
201111;1700;16,7467;
201111;1800;16,3767;
201111;1900;14,955;
201111;2000;14,415;
201111;2100;13,96;
201111;2200;13,315;
201111;2300;12,9875;
201112;0000;12,8367;
201112;0100;12,6392;
201112;0200;12,2633;
201112;0300;11,8092;
201112;0400;11,42;
201112;0500;11,0958;
201112;0600;11,9533;
201112;0700;13,3058;
201112;0800;15,4275;
201112;0900;16,165;
201112;1000;15,26;
201112;1100;16,2158;
201112;1200;16,1758;
201112;1300;17,4875;
201112;1400;16,145;
201112;1500;16,5817;
201112;1600;14,8917;
201112;1700;13,7083;
201112;1800;12,6808;
201112;1900;11,4667;
201112;2000;10,905;
201112;2100;9,90417;
201112;2200;9,54417;
201112;2300;9,17416;
201113;0000;9,05917;
201113;0100;9,07167;
201113;0200;8,985;
201113;0300;8,88417;
201113;0400;8,81;
201113;0500;8,86917;
201113;0600;9,56583;
201113;0700;11,5267;
201113;0800;11,6217;
201113;0900;11,7417;
201113;1000;12,1358;
201113;1100;13,2533;
201113;1200;14,06;
201113;1300;15,0242;
201113;1400;15,4408;
201113;1500;15,3267;
201113;1600;13,6967;
201113;1700;11,99;
201113;1800;11,2558;
201113;1900;10,4958;
201113;2000;9,50166;
201113;2100;8,63333;
201113;2200;7,74542;
201113;2300;7,7205;
201114;0000;7,18992;
201114;0100;7,08117;
201114;0200;7,23042;
201114;0300;7,31942;
201114;0400;7,36767;
201114;0500;6,71842;
201114;0600;6,987;
201114;0700;8,44983;
201114;0800;9,91083;
201114;0900;11,8192;
201114;1000;12,6758;
201114;1100;13,0408;
201114;1200;15,0942;
201114;1300;15,865;
201114;1400;15,9942;
201114;1500;15,975;
201114;1600;13,9908;
201114;1700;13,4467;
201114;1800;12,9575;
201114;1900;10,5958;
201114;2000;9,60918;
201114;2100;9,095;
201114;2200;8,455;
201114;2300;8,08366;
201115;0000;7,49867;
201115;0100;7,55058;
201115;0200;7,47542;
201115;0300;7,35883;
201115;0400;6,81175;
201115;0500;6,56483;
201115;0600;7,35;
201115;0700;9,8325;
201115;0800;11,2892;
201115;0900;10,6717;
201115;1000;12,9725;
201115;1100;12,4092;
201115;1200;11,8458;
201115;1300;13,4167;
201115;1400;13,1467;
201115;1500;13,09;
201115;1600;12,4975;
201115;1700;13,5817;
201115;1800;12,7842;
201115;1900;11,6775;
201115;2000;10,9242;
201115;2100;10,33;
201115;2200;9,6825;
201115;2300;9,28999;
201116;0000;9,48917;
