FECHA (YYMMDD);HORA (HHMM);;
150122;1300;5,6;
150122;1400;5,89999;
150122;1500;4,8;
150122;1600;6,1;
150122;1700;4,5;
150122;1800;3,4;
150122;1900;2,6;
150122;2000;1,4;
150122;2100;2;
150122;2200;1,3;
150122;2300;1,4;
150123;0000;1,5;
150123;0100;1,6;
150123;0200;1,4;
150123;0300;1,4;
150123;0400;1,4;
150123;0500;1,4;
150123;0600;1,3;
150123;0700;1,1;
150123;0800;1,6;
150123;0900;3,4;
150123;1000;3,6;
150123;1100;3,8;
150123;1200;3,3;
150123;1300;4,2;
150123;1400;5,1;
150123;1500;4,7;
150123;1600;3,6;
150123;1700;2,9;
150123;1800;2,4;
150123;1900;2,3;
150123;2000;1,3;
150123;2100;1,1;
150123;2200;1,1;
150123;2300;1;
150124;0000;1,3;
150124;0100;1,8;
150124;0200;1,6;
150124;0300;1,5;
150124;0400;1,2;
150124;0500;1,5;
150124;0600;2,4;
150124;0700;2,5;
150124;0800;4,5;
150124;0900;5,6;
150124;1000;6,2;
150124;1100;5,6;
150124;1200;5,2;
150124;1300;5,6;
150124;1400;6,5;
150124;1500;6,3;
150124;1600;6;
150124;1700;6,1;
150124;1800;5,6;
150124;1900;4,8;
150124;2000;4,39999;
150124;2100;3,9;
150124;2200;3,2;
150124;2300;2,7;
150125;0000;2,5;
150125;0100;2,7;
150125;0200;2,3;
150125;0300;1,9;
150125;0400;1;
150125;0500;1,2;
150125;0600;1,1;
150125;0700;1,7;
150125;0800;1,3;
150125;0900;2,7;
150125;1000;3,6;
150125;1100;3,2;
150125;1200;4,3;
150125;1300;5;
150125;1400;5,39999;
150125;1500;6,6;
150125;1600;4;
150125;1700;2,6;
150125;1800;3,2;
150125;1900;2,6;
150125;2000;4,3;
150125;2100;2,4;
150125;2200;1,5;
150125;2300;1,5;
150126;0000;1,3;
150126;0100;1,6;
150126;0200;1,5;
150126;0300;1,6;
150126;0400;1,8;
150126;0500;1,5;
150126;0600;1,3;
150126;0700;1,6;
150126;0800;3,1;
150126;0900;3,4;
150126;1000;5,8;
150126;1100;6,89999;
150126;1200;7,2;
150126;1300;5,7;
150126;1400;5,1;
150126;1500;5,39999;
150126;1600;4,89999;
150126;1700;3,2;
150126;1800;1,6;
150126;1900;2,6;
150126;2000;2,2;
150126;2100;1,9;
150126;2200;2,3;
150126;2300;1,8;
150127;0000;3,1;
150127;0100;2,5;
150127;0200;2,6;
150127;0300;2;
150127;0400;3;
150127;0500;4,2;
150127;0600;2,9;
150127;0700;0,799999;
150127;0800;1,9;
150127;0900;3,2;
150127;1000;4,39999;
150127;1100;5,5;
150127;1200;5,6;
150127;1300;5,8;
150127;1400;4,89999;
150127;1500;4,89999;
150127;1600;5;
150127;1700;5,1;
150127;1800;4,89999;
150127;1900;4,3;
150127;2000;2,7;
150127;2100;2,8;
150127;2200;1,9;
150127;2300;2,7;
150128;0000;2,6;
150128;0100;1,3;
150128;0200;1,3;
150128;0300;1,4;
150128;0400;2;
150128;0500;1,9;
150128;0600;1,2;
150128;0700;1,5;
150128;0800;2,2;
150128;0900;2,6;
150128;1000;2,7;
150128;1100;3,3;
150128;1200;4,1;
150128;1300;4;
150128;1400;3,8;
150128;1500;3,1;
150128;1600;2,7;
150128;1700;2,6;
150128;1800;2,7;
150128;1900;1,7;
150128;2000;1,2;
150128;2100;1,4;
150128;2200;1,2;
150128;2300;1,1;
150129;0000;1,1;
150129;0100;1,1;
150129;0200;1,3;
150129;0300;1,4;
150129;0400;1,7;
150129;0500;1,8;
150129;0600;1,5;
150129;0700;1,1;
150129;0800;2,1;
150129;0900;2;
150129;1000;1,7;
150129;1100;1,7;
150129;1200;1,7;
150129;1300;1,9;
150129;1400;2,1;
150129;1500;4,5;
150129;1600;4,5;
150129;1700;3,9;
150129;1800;2,9;
150129;1900;2,6;
150129;2000;1,1;
150129;2100;1,2;
150129;2200;1,3;
150129;2300;1,8;
150130;0000;1,9;
150130;0100;1,7;
150130;0200;1,9;
150130;0300;1,9;
150130;0400;2,1;
150130;0500;1,6;
150130;0600;1,6;
150130;0700;1,5;
150130;0800;2,1;
150130;0900;1,6;
150130;1000;1,3;
150130;1100;1,8;
150130;1200;3,2;
150130;1300;4,2;
150130;1400;4,8;
150130;1500;5,5;
150130;1600;4,3;
150130;1700;4,6;
150130;1800;4;
150130;1900;3,6;
150130;2000;2,1;
150130;2100;1,5;
150130;2200;1,3;
150130;2300;1,3;
150131;0000;1,4;
150131;0100;1,2;
150131;0200;1,9;
150131;0300;1,8;
150131;0400;3,2;
150131;0500;3,8;
150131;0600;2,7;
150131;0700;4,39999;
150131;0800;4,7;
150131;0900;4,5;
150131;1000;4,89999;
150131;1100;5,39999;
150131;1200;4,39999;
150131;1300;4,6;
150131;1400;5,1;
150131;1500;4,6;
150131;1600;4,89999;
150131;1700;4,89999;
150131;1800;5,1;
150131;1900;4,3;
150131;2000;3,5;
150131;2100;2,6;
150131;2200;1,9;
150131;2300;1,1;
150201;0000;1,2;
150201;0100;1,1;
150201;0200;1,1;
150201;0300;1,1;
150201;0400;1,2;
150201;0500;2,5;
150201;0600;1,6;
150201;0700;1,6;
150201;0800;2,5;
150201;0900;2,3;
150201;1000;2,6;
150201;1100;3,8;
150201;1200;3,4;
150201;1300;3,9;
150201;1400;4,89999;
150201;1500;3,8;
150201;1600;3,8;
150201;1700;4,39999;
150201;1800;3,1;
150201;1900;1,5;
150201;2000;1,8;
150201;2100;1,4;
150201;2200;1,8;
150201;2300;1,4;
150202;0000;1,4;
150202;0100;1,5;
150202;0200;1,4;
150202;0300;1,3;
150202;0400;1,9;
150202;0500;1,7;
150202;0600;1,5;
150202;0700;1,2;
150202;0800;1,3;
150202;0900;1,2;
150202;1000;1,4;
150202;1100;1,2;
150202;1200;1,6;
150202;1300;1,9;
150202;1400;2;
150202;1500;2,2;
150202;1600;2,5;
150202;1700;2,9;
150202;1800;3,1;
150202;1900;2,3;
150202;2000;1,4;
150202;2100;1,3;
150202;2200;1,7;
150202;2300;1,7;
150203;0000;1,2;
150203;0100;1,6;
150203;0200;1,5;
150203;0300;0,9;
150203;0400;1,7;
150203;0500;1,3;
150203;0600;1,2;
150203;0700;1;
150203;0800;1,2;
150203;0900;1,5;
150203;1000;1,4;
150203;1100;1,7;
150203;1200;2,2;
150203;1300;1,8;
150203;1400;1,8;
150203;1500;2,1;
150203;1600;3,4;
150203;1700;4,39999;
150203;1800;2,7;
150203;1900;2,3;
150203;2000;1,1;
150203;2100;1,4;
150203;2200;1,9;
150203;2300;1,7;
150204;0000;2;
150204;0100;1,7;
150204;0200;1,5;
150204;0300;1,7;
150204;0400;1,6;
150204;0500;1,6;
150204;0600;1,4;
150204;0700;1,8;
150204;0800;3,1;
150204;0900;2,8;
150204;1000;3;
150204;1100;4,89999;
150204;1200;6,3;
150204;1300;6,39999;
150204;1400;6,1;
150204;1500;6;
150204;1600;5,8;
150204;1700;4,1;
150204;1800;4;
150204;1900;3,3;
150204;2000;1,2;
150204;2100;1,5;
150204;2200;1,3;
150204;2300;1,8;
150205;0000;1,4;
150205;0100;1,2;
150205;0200;1,1;
150205;0300;1,3;
150205;0400;1,6;
150205;0500;1,2;
150205;0600;1,6;
150205;0700;1,4;
150205;0800;1,6;
150205;0900;2,7;
150205;1000;3,2;
150205;1100;2,5;
150205;1200;3,1;
150205;1300;3,7;
150205;1400;3,7;
150205;1500;4,2;
150205;1600;4,8;
150205;1700;4,8;
150205;1800;3,6;
150205;1900;3,7;
150205;2000;3,3;
150205;2100;3;
150205;2200;3;
150205;2300;2,8;
150206;0000;2,2;
150206;0100;2,1;
150206;0200;2,5;
150206;0300;2,2;
150206;0400;2,6;
150206;0500;2,4;
150206;0600;3,6;
150206;0700;5;
150206;0800;4,89999;
150206;0900;4,6;
150206;1000;5,89999;
150206;1100;5,8;
150206;1200;4,5;
150206;1300;4,89999;
150206;1400;5,2;
150206;1500;4,89999;
150206;1600;5,7;
150206;1700;4,89999;
150206;1800;4,1;
150206;1900;3,6;
150206;2000;2,8;
150206;2100;3,1;
150206;2200;2,2;
150206;2300;1,3;
150207;0000;1,3;
150207;0100;1,7;
150207;0200;2,3;
150207;0300;1,2;
150207;0400;1,4;
150207;0500;1,8;
150207;0600;1,5;
150207;0700;1,3;
150207;0800;1,4;
150207;0900;1,8;
150207;1000;2,3;
150207;1100;3,9;
150207;1200;3,5;
150207;1300;3,5;
150207;1400;4;
150207;1500;4,3;
150207;1600;3,9;
150207;1700;3,9;
150207;1800;4;
150207;1900;2,9;
150207;2000;3,4;
150207;2100;2,8;
150207;2200;2,7;
150207;2300;1,7;
150208;0000;3;
150208;0100;5,2;
150208;0200;6,6;
